ID,ID_String,Twitter_Name,Twitter_Username,Location,followers_count,friends_count,listed_count,created_at,favourites_count,favourites_count,verified,statuses_count
1435683387260293000,1435683387260293120,Techno_gamerz.bit,raoshab0819,"Haryana, India",40,3463,1,Wed Sep 08 19:16:20 +0000 2021,1113,1113,false,2186
1521881593509560300,1521881593509560321,一惢一亿（🇨🇳fo必回⊙o⊙稀🍚你）,Ai42498493,China,405,1325,0,Wed May 04 15:57:19 +0000 2022,93,93,false,25
1308430401543614500,1308430401543614465,The He Who Remains,minnikeswar,Eveywhere,3,91,0,Tue Sep 22 15:38:23 +0000 2020,7263,7263,false,1050
1246081366267236400,1246081366267236352,Ozodbek 🔶✿ 🔔❤️,Ozodbek14864251,,372,4647,8,Fri Apr 03 14:25:40 +0000 2020,10088,10088,false,14288
1337288080449998800,1337288080449998852,Amanda Munoz,AmandaM70106363,,0,7,0,Fri Dec 11 06:48:33 +0000 2020,17,17,false,10
1562511841,1562511841,Zeeshan Ahmad,ZeeAhmad27,,9,371,4,Tue Jul 02 07:24:25 +0000 2013,150,150,false,31
1502530908922212400,1502530908922212355,Midkiff Friedland,MidkiffFriedla1,,7,41,0,Sat Mar 12 06:24:23 +0000 2022,91,91,false,61
1324066542934499300,1324066542934499331,Jawna Boyd,BoydJawna,,0,3,0,Wed Nov 04 19:10:54 +0000 2020,18,18,false,8
1513687146074611700,1513687146074611715,Fenn Matsumura,FennMatsumura,,3,39,0,Tue Apr 12 01:15:17 +0000 2022,75,75,false,58
1324072100177522700,1324072100177522693,Kathy Reyes,KathyRe14927682,,0,5,0,Wed Nov 04 19:32:56 +0000 2020,9,9,false,10
1502384704242458600,1502384704242458625,METASTRAIGHT,metastraight,,29,310,1,Fri Mar 11 20:44:21 +0000 2022,106,106,false,139
1447731618412589000,1447731618412589058,Armandina,Armandi79947331,,4,25,0,Tue Oct 12 01:11:48 +0000 2021,61,61,false,46
1502523183248732200,1502523183248732165,Sherly Spitler,SherlySpitler,,3,44,0,Sat Mar 12 05:53:41 +0000 2022,80,80,false,65
1502520420238790700,1502520420238790658,Drummond Dutra,DrummondDutra,,10,47,0,Sat Mar 12 05:42:42 +0000 2022,82,82,false,60
1502517411244757000,1502517411244756993,Boles Kerstetter,BolesKerstetter,,2,44,0,Sat Mar 12 05:30:45 +0000 2022,82,82,false,62
1502514220092764200,1502514220092764160,Darrin Fulcher,DarrinFulcher,,1,42,0,Sat Mar 12 05:18:03 +0000 2022,96,96,false,66
1335432902436384800,1335432902436384770,Danielle Burns,Daniell07257761,,0,4,0,Sun Dec 06 03:56:50 +0000 2020,21,21,false,9
1503308271775625200,1503308271775625220,AlgoNate,AlgoDAOnate,nathankaiser.algo,293,408,2,Mon Mar 14 09:53:46 +0000 2022,283,283,false,392
1502505615700402200,1502505615700402177,Woolverton Randles,WoolvertonRand1,,6,45,0,Sat Mar 12 04:43:52 +0000 2022,101,101,false,78
1502499741829316600,1502499741829316610,Barboza Isenhour,BarbozaIsenhour,,3,41,0,Sat Mar 12 04:20:33 +0000 2022,73,73,false,75
1502492826554466300,1502492826554466309,Ridenhour Shearer,RidenhourShear1,,12,41,0,Sat Mar 12 03:53:04 +0000 2022,88,88,false,69
1524627857816920000,1524627857816920065,Moonlight,haozizhuanyong,,4,20,0,Thu May 12 05:49:57 +0000 2022,6,6,false,15
1502491558397980700,1502491558397980674,Haggard Jakayla,HaggardJakayla,,1,48,0,Sat Mar 12 03:48:01 +0000 2022,91,91,false,75
1418414511866908700,1418414511866908672,xengun,xengun30,英国,7,842,3,Fri Jul 23 03:35:57 +0000 2021,39,39,false,1431
1529145845601665000,1529145845601665024,刘剑发,cT1WBfxObf2yGYF,,11,73,0,Tue May 24 17:03:08 +0000 2022,6,6,false,10
1490379425258553300,1490379425258553344,champion,caferborsa76,,9,48,0,Sun Feb 06 17:38:54 +0000 2022,2,2,false,31
1895849167,1895849167,sachin kumar,sachink07791769,,234,1022,8,Mon Sep 23 02:01:06 +0000 2013,420,420,false,881
1506174620713779200,1506174620713779200,Ankit Balhra,AnkitBalhra7,"Rohtak, India",3,112,0,Tue Mar 22 07:43:19 +0000 2022,51,51,false,113
786485794915557400,786485794915557377,A Bad Girl,nguyentinngo,"Hồ Chí Minh, Việt Nam",3398,389,2,Thu Oct 13 08:36:40 +0000 2016,109,109,false,299
